17,17,17,-1,-1,-1,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,9,9,9,9,9,9,9,9,9,9
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,9,9,9,9,9,9,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,9,9,9,9,9,9,9,9,9
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,-1,9,9,9,9,9,9,9,9,9,-1,-1,-1,-1,-1,-1,-1,-1,9,-1,9,9,9,9,-1,9,9,9,9,9,-1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,9,9,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,9,9,9,9,9,9,9,-1,9,-1,9,-1,-1,-1,-1,-1,-1,-1,-1,9,-1,9,-1,-1,-1,-1,-1,-1,-1,9,9,9,9,9,9,9,9,9,9
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,9,9,-1,9,9,9,-1,9,-1,9,-1,-1,-1,-1,9,-1,9,-1,9,9,9,9,9,9,9,9,9,9,-1,9,-1,-1,9,9,9,-1,-1,9,9,9,9,9,9,9,9,9,9
-1,-1,1,1,1,1,1,-1,-1,-1,-1,1,1,1,1,1,1,9,9,9,9,9,9,-1,9,-1,9,9,9,-1,9,-1,9,-1,-1,9,9,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,-1,-1,-1,-1,-1,-1,-1,9,9,9,9,9,9,9,9,9,9
-1,-1,9,9,9,9,9,-1,-1,-1,-1,9,9,9,9,9,9,9,9,9,9,-1,-1,-1,9,-1,9,-1,9,-1,-1,-1,-1,-1,-1,-1,-1,9,9,9,9,9,9,9,9,-1,9,9,9,-1,-1,-1,9,9,9,-1,-1,-1,9,9,9,9,9,9,9,9,9,9,9,9
-1,-1,9,9,9,9,9,-1,-1,-1,-1,9,9,9,9,9,9,9,9,9,9,-1,9,9,9,9,9,-1,9,-1,9,9,9,9,9,9,-1,9,-1,-1,-1,-1,-1,-1,9,-1,9,-1,-1,-1,-1,-1,9,-1,-1,-1,-1,-1,-1,-1,9,9,9,9,9,9,9,9,9,9
-1,-1,9,9,9,9,9,-1,-1,-1,-1,9,9,9,9,9,9,9,9,9,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,-1,-1,-1,-1,-1,-1,-1,-1,9,9,9,9,9,9,-1,9,9,9,9,9,9,9,-1,-1,9,9,9,-1,-1,9,9,9,9,9,9,9,9,9,9
-1,-1,9,9,9,9,9,-1,-1,-1,-1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,-1,-1,9,9,9,9,9,9,9,9,-1,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,9,9,-1,-1,9,9,9,9,9,9,9,9,9,9
-1,-1,9,9,9,9,9,-1,-1,-1,-1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,9,9,9,9
